t,c,mean,std,size
29,2,100.09590708891068,10.524679882645964,1623832
30,0,16.665393341183076,22.597937781446973,1623832
30,1,136.23858317855542,23.47363744165633,1623832
30,2,98.8340505668074,10.442389521683877,1623832
31,0,16.955734337049645,22.716051937502755,1623832
31,1,135.6906237837412,23.453584992706183,1623832
31,2,97.54194214672454,10.351393045129203,1623832
32,0,17.23639637597978,22.819898447635598,1623832
32,1,135.08725163686884,23.418784298744402,1623832
32,2,96.27966439878017,10.271869990179104,1623832
33,0,17.516671675394992,22.938328335733228,1623832
33,1,134.58224311381966,23.37756553569572,1623832
33,2,95.01800309391612,10.18158621659508,1623832
34,0,17.8137104084659,23.050958061148926,1623832
34,1,134.01529714896614,23.362093237386134,1623832
34,2,93.73710950393883,10.101227017855527,1623832
35,0,18.1135191325211,23.149758500250037,1623832
35,1,133.4070704358579,23.344137777109445,1623832
35,2,92.49695411840634,10.025175072786432,1623832
36,0,18.3608070292986,23.2490074145305,1623832
36,1,132.83776708427965,23.30788582738826,1623832
36,2,91.2636498110642,9.937829345408108,1623832
37,0,18.604619812887048,23.334029817649498,1623832
37,1,132.35348299577788,23.290701932933445,1623832
37,2,90.06288519994679,9.86768697371943,1623832
38,0,18.859699771897585,23.418427616074943,1623832
38,1,131.87364641169776,23.243249323492392,1623832
38,2,88.8988762384286,9.781610148693828,1623832
39,0,19.10394178708142,23.485745988558296,1623832
39,1,131.21408064381043,23.199378779282085,1623832
39,2,87.71576246803856,9.710641059415869,1623832
40,0,19.359675754634715,23.553497227480836,1623832
40,1,130.71741411673128,23.17488206639702,1623832
40,2,86.45979140699284,9.634083383095186,1623832
41,0,19.576007862882367,23.60376290143745,1623832
41,1,130.08163529232087,23.15225250460559,1623832
41,2,85.15357315288773,9.539068110269758,1623832
42,0,19.78799346237788,23.63660094831633,1623832
42,1,129.6503185058553,23.1053752657349,1623832
42,2,84.02807556446726,9.477609166977977,1623832
43,0,20.013080786682366,23.651381877689783,1623832
43,1,129.02479813182646,23.058350524268885,1623832
43,2,82.79620613462477,9.407190458984884,1623832
44,0,20.222622167810464,23.64258720813037,1623832
44,1,128.39778376088168,23.00550756653603,1623832
44,2,81.46535355874254,9.314620996431055,1623832
45,0,20.430953448386287,23.62000892766625,1623832
45,1,127.77158474521995,22.969232276405258,1623832
45,2,80.23486604525591,9.240539703502442,1623832
46,0,20.63523073815518,23.601556708962033,1623832
46,1,127.32154373112489,22.944302399972898,1623832
46,2,79.12443097561817,9.180535219532869,1623832
47,0,20.805226156400416,23.558995716126997,1623832
47,1,126.54549916493825,22.906069494513954,1623832
47,2,77.85277848940038,9.097655218656298,1623832
48,0,20.955976972987354,23.474954310359504,1623832
48,1,125.90010727710748,22.869894230691102,1623832
48,2,76.65110245394844,9.023288808710928,1623832
49,0,21.091884505293653,23.397829469504007,1623832
49,1,125.3009751008725,22.831198040271985,1623832
49,2,75.34279900876446,8.922891405502952,1623832
50,0,21.204817986097083,23.279148552954343,1623832
50,1,124.66790283723932,22.798608229565836,1623832
50,2,74.12144113430453,8.859833785591952,1623832
51,0,21.348973292803688,23.168611130021084,1623832
51,1,124.22462606969194,22.78356978670847,1623832
51,2,72.9560681154208,8.787730322452548,1623832
52,0,21.536852334477953,23.04890921859037,1623832
52,1,123.77226892929811,22.766226678216206,1623832
52,2,71.90892530754412,8.73575235556923,1623832
53,0,21.71131188448066,22.928962278856417,1623832
53,1,123.42014506426773,22.740250158912275,1623832
53,2,70.8920140753477,8.68129262601915,1623832
54,0,21.88076968553397,22.83072294916711,1623832
54,1,123.03779701348415,22.735091834167218,1623832
54,2,69.80448408456047,8.609237349727652,1623832
55,0,22.061061735450465,22.72621303200247,1623832
55,1,122.71877016834254,22.717680290492627,1623832
55,2,68.84810128141335,8.554712199542431,1623832
56,0,22.246662216288385,22.620944064011496,1623832
56,1,122.40253548396632,22.693031528698945,1623832
56,2,67.73941454534706,8.488138608712516,1623832
57,0,22.403996842037845,22.49272228727093,1623832
57,1,121.81167325191277,22.669082557254708,1623832
57,2,66.51703809261056,8.397948703404408,1623832
58,0,22.532822976761143,22.346746298852704,1623832
58,1,121.51113354090818,22.64779409583772,1623832
58,2,65.55670598928953,8.342288709826581,1623832
59,0,22.6915524512388,22.22027153011274,1623832
59,1,121.19252299498963,22.64109250656118,1623832
59,2,64.6333580074786,8.284130493849895,1623832
60,0,22.831989392991392,22.074051375820545,1623832
60,1,120.75005542445278,22.625257381937487,1623832
60,2,63.6090500741456,8.22121723302904,1623832
61,0,22.937329107937273,21.926546924783064,1623832
61,1,120.37951647707398,22.592414346745443,1623832
61,2,62.56286303016568,8.146892161677584,1623832
62,0,23.04004786209411,21.77008947120901,1623832
62,1,119.96394023519674,22.584225382295333,1623832
62,2,61.545628488661386,8.086280817031863,1623832
63,0,23.17187984963962,21.63081895225758,1623832
63,1,119.57843730139571,22.566853330979544,1623832
63,2,60.65465762468038,8.037982720504797,1623832
64,0,23.33641657511368,21.47215699137105,1623832
64,1,119.2696670591539,22.566722846711688,1623832
64,2,59.7529023938437,7.977143571682889,1623832
65,0,23.482528365003276,21.336236605412182,1623832
65,1,118.73093460407235,22.55633920994804,1623832
65,2,58.66591494686642,7.8982762130582165,1623832
66,0,23.603040215982933,21.194236863404303,1623832
66,1,118.35824580375309,22.548306899380584,1623832
66,2,57.65248683361333,7.833175018265714,1623832
67,0,23.751711999763522,21.07464278627432,1623832
67,1,118.07532183132246,22.534367805482518,1623832
67,2,56.75961367924761,7.771271574001078,1623832
68,0,23.94469317022943,20.95440135870891,1623832
68,1,117.80530559811606,22.53872645893014,1623832
68,2,55.87779400824716,7.710209003321102,1623832
69,0,24.1212434537563,20.85102484855779,1623832
69,1,117.45791190221648,22.55106785400651,1623832
69,2,54.98042100414329,7.657996435267142,1623832
70,0,24.25523945826908,20.720895572600654,1623832
70,1,117.03340862847881,22.5503874353336,1623832
70,2,54.08347969494381,7.592032708409176,1623832
71,0,24.47063674074658,20.642060518736795,1623832
71,1,116.87978066696554,22.530146106303462,1623832
71,2,53.1480405608462,7.523804307714346,1623832
